name,weight,height,id,bred_for,breed_group,life_span,temperament,origin,reference_image_id,image,country_code,description,history
Rottweiler,"{'imperial': '75 - 110', 'metric': '34 - 50'}","{'imperial': '22 - 27', 'metric': '56 - 69'}",210,"Cattle drover, guardian, draft",Working,8 - 10 years,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",,r1xXEgcNX,"{'id': 'r1xXEgcNX', 'width': 736, 'height': 595, 'url': 'https://cdn2.thedogapi.com/images/r1xXEgcNX.jpg'}",,,
Russian Toy,"{'imperial': '3 - 6', 'metric': '1 - 3'}","{'imperial': '7.5 - 10.5', 'metric': '19 - 27'}",211,,Toy,10 - 12 years,,,HkP7Vxc4Q,"{'id': 'HkP7Vxc4Q', 'width': 645, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/HkP7Vxc4Q.jpg'}",,,
Saint Bernard,"{'imperial': '130 - 180', 'metric': '59 - 82'}","{'imperial': '25.5 - 27.5', 'metric': '65 - 70'}",212,"Draft, search, rescue",Working,7 - 10 years,"Friendly, Lively, Gentle, Watchful, Calm",,_Qf9nfRzL,"{'id': '_Qf9nfRzL', 'width': 1080, 'height': 1084, 'url': 'https://cdn2.thedogapi.com/images/_Qf9nfRzL.png'}",,,
Saluki,"{'imperial': '35 - 65', 'metric': '16 - 29'}","{'imperial': '23 - 28', 'metric': '58 - 71'}",213,Coursing gazelle and hare,Hound,12 - 14 years,"Aloof, Reserved, Intelligent, Quiet",,fjFIuehNo,"{'id': 'fjFIuehNo', 'width': 750, 'height': 450, 'url': 'https://cdn2.thedogapi.com/images/fjFIuehNo.jpg'}",,,
Samoyed,"{'imperial': '50 - 60', 'metric': '23 - 27'}","{'imperial': '19 - 23.5', 'metric': '48 - 60'}",214,"Herding reindeer, guardian, draft",Working,12 - 14 years,"Stubborn, Friendly, Sociable, Lively, Alert, Playful",,S1T8Ee9Nm,"{'id': 'S1T8Ee9Nm', 'width': 1200, 'height': 797, 'url': 'https://cdn2.thedogapi.com/images/S1T8Ee9Nm.jpg'}",,,
Schipperke,"{'imperial': '10 - 16', 'metric': '5 - 7'}","{'imperial': '10 - 13', 'metric': '25 - 33'}",216,Barge watchdog,Non-Sporting,13 - 15 years,"Fearless, Agile, Curious, Independent, Confident, Faithful",,SyBvVgc47,"{'id': 'SyBvVgc47', 'width': 1024, 'height': 681, 'url': 'https://cdn2.thedogapi.com/images/SyBvVgc47.jpg'}",,,
Scottish Deerhound,"{'imperial': '70 - 130', 'metric': '32 - 59'}","{'imperial': '28 - 32', 'metric': '71 - 81'}",218,Coursing deer,Hound,8 - 10 years,"Docile, Friendly, Dignified, Gentle",,SkNjqx9NQ,"{'id': 'SkNjqx9NQ', 'width': 700, 'height': 480, 'url': 'https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg'}",,,
Scottish Terrier,"{'imperial': '18 - 22', 'metric': '8 - 10'}","{'imperial': '10', 'metric': '25'}",219,Vermin hunting,Terrier,11 - 13 years,"Feisty, Alert, Independent, Playful, Quick, Self-assured",,Bklnce5NX,"{'id': 'Bklnce5NX', 'width': 1280, 'height': 976, 'url': 'https://cdn2.thedogapi.com/images/Bklnce5NX.jpg'}",,,
Shetland Sheepdog,"{'imperial': '30', 'metric': '14'}","{'imperial': '13 - 16', 'metric': '33 - 41'}",221,Sheep herding,Herding,12 - 14 years,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",,rJa29l9E7,"{'id': 'rJa29l9E7', 'width': 824, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/rJa29l9E7.jpg'}",,,
Shiba Inu,"{'imperial': '17 - 23', 'metric': '8 - 10'}","{'imperial': '13.5 - 16.5', 'metric': '34 - 42'}",222,"Hunting in the mountains of Japan, Alert Watchdog",Non-Sporting,12 - 16 years,"Charming, Fearless, Keen, Alert, Confident, Faithful",,Zn3IjPX3f,"{'id': 'Zn3IjPX3f', 'width': 1080, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg'}",,,
Shih Tzu,"{'imperial': '9 - 16', 'metric': '4 - 7'}","{'imperial': '8 - 11', 'metric': '20 - 28'}",223,Lapdog,Toy,10 - 18 years,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",,BkrJjgcV7,"{'id': 'BkrJjgcV7', 'width': 800, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg'}",,,
Shiloh Shepherd,"{'imperial': '120 - 140', 'metric': '54 - 64'}","{'imperial': '26 - 30', 'metric': '66 - 76'}",225,"Swimming, Carrying backpacks, Pulling carts or sleds",,9 – 14 years,"Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",,SJJxjecEX,"{'id': 'SJJxjecEX', 'width': 1005, 'height': 803, 'url': 'https://cdn2.thedogapi.com/images/SJJxjecEX.jpg'}",,,
Siberian Husky,"{'imperial': '35 - 60', 'metric': '16 - 27'}","{'imperial': '20 - 23.5', 'metric': '51 - 60'}",226,Sled pulling,Working,12 years,"Outgoing, Friendly, Alert, Gentle, Intelligent",,S17ZilqNm,"{'id': 'S17ZilqNm', 'width': 1920, 'height': 1280, 'url': 'https://cdn2.thedogapi.com/images/S17ZilqNm.jpg'}",,,
Silky Terrier,"{'imperial': '8 - 10', 'metric': '4 - 5'}","{'imperial': '9 - 10', 'metric': '23 - 25'}",228,"Small vermin hunting, companionship",Toy,12 - 15 years,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",,ByzGsl5Nm,"{'id': 'ByzGsl5Nm', 'width': 1599, 'height': 1142, 'url': 'https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg'}",,,
Smooth Fox Terrier,"{'imperial': 'up - 18', 'metric': 'NaN - 8'}","{'imperial': '15.5', 'metric': '39'}",232,Fox bolting,Terrier,12 - 14 years,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",,Syszjx9Em,"{'id': 'Syszjx9Em', 'width': 1600, 'height': 1031, 'url': 'https://cdn2.thedogapi.com/images/Syszjx9Em.jpg'}",,,
Soft Coated Wheaten Terrier,"{'imperial': '30 - 40', 'metric': '14 - 18'}","{'imperial': '16 - 18', 'metric': '41 - 46'}",233,"Vermin hunting, guarding, all-around farm helper",Terrier,12 - 15 years,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",,HJHmix5NQ,"{'id': 'HJHmix5NQ', 'width': 1200, 'height': 800, 'url': 'https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg'}",,,
Spanish Water Dog,"{'imperial': '30 - 50', 'metric': '14 - 23'}","{'imperial': '16 - 20', 'metric': '41 - 51'}",235,Herding flocks of sheep and goats from one pasture to another,Sporting,12 - 15 years,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",,HJf4jl9VX,"{'id': 'HJf4jl9VX', 'width': 1200, 'height': 922, 'url': 'https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg'}",,,
Spinone Italiano,"{'imperial': '61 - 85', 'metric': '28 - 39'}","{'imperial': '22.5 - 27.5', 'metric': '57 - 70'}",236,,Sporting,10 - 12 years,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",,rk5Eoe5Nm,"{'id': 'rk5Eoe5Nm', 'width': 1030, 'height': 772, 'url': 'https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg'}",,,
Staffordshire Bull Terrier,"{'imperial': '24 - 38', 'metric': '11 - 17'}","{'imperial': '14 - 16', 'metric': '36 - 41'}",238,,Terrier,12 - 14 years,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",,H1zSie9V7,"{'id': 'H1zSie9V7', 'width': 1280, 'height': 852, 'url': 'https://cdn2.thedogapi.com/images/H1zSie9V7.jpg'}",,,
Standard Schnauzer,"{'imperial': '30 - 50', 'metric': '14 - 23'}","{'imperial': '17.5 - 19.5', 'metric': '44 - 50'}",239,"Ratting, guarding",Working,13 - 15 years,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",,tmzeu6ID_,"{'id': 'tmzeu6ID_', 'width': 650, 'height': 585, 'url': 'https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg'}",,,
Swedish Vallhund,"{'imperial': '20 - 30', 'metric': '9 - 14'}","{'imperial': '11.5 - 13.5', 'metric': '29 - 34'}",242,,Herding,12 - 14 years,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",,HJ-Dix94Q,"{'id': 'HJ-Dix94Q', 'width': 1280, 'height': 851, 'url': 'https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg'}",,,
Thai Ridgeback,"{'imperial': '35 - 55', 'metric': '16 - 25'}","{'imperial': '20 - 24', 'metric': '51 - 61'}",243,,Hound,10 - 12 years,"Protective, Loyal, Independent, Intelligent, Loving, Familial",,zv89hR-O8,"{'id': 'zv89hR-O8', 'width': 1080, 'height': 720, 'url': 'https://cdn2.thedogapi.com/images/zv89hR-O8.jpg'}",,,
Tibetan Mastiff,"{'imperial': '85 - 140', 'metric': '39 - 64'}","{'imperial': '24 - 26', 'metric': '61 - 66'}",244,,Working,10 - 14 years,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",,SkM9sec47,"{'id': 'SkM9sec47', 'width': 1600, 'height': 1375, 'url': 'https://cdn2.thedogapi.com/images/SkM9sec47.jpg'}",,,
Tibetan Spaniel,"{'imperial': '9 - 15', 'metric': '4 - 7'}","{'imperial': '10', 'metric': '25'}",245,,Non-Sporting,12 - 15 years,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",,Hyjcol947,"{'id': 'Hyjcol947', 'width': 1023, 'height': 825, 'url': 'https://cdn2.thedogapi.com/images/Hyjcol947.jpg'}",,,
Tibetan Terrier,"{'imperial': '20 - 24', 'metric': '9 - 11'}","{'imperial': '14 - 17', 'metric': '36 - 43'}",246,"Good luck charms, mascots, watchdogs, herding dogs, and companions",Non-Sporting,12 - 15 years,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",,6f5n_42mB,"{'id': '6f5n_42mB', 'width': 981, 'height': 1226, 'url': 'https://cdn2.thedogapi.com/images/6f5n_42mB.jpg'}",,,
Toy Fox Terrier,"{'imperial': '4 - 9', 'metric': '2 - 4'}","{'imperial': '8 - 11', 'metric': '20 - 28'}",248,,Toy,12 - 15 years,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",,B17ase9V7,"{'id': 'B17ase9V7', 'width': 1200, 'height': 1024, 'url': 'https://cdn2.thedogapi.com/images/B17ase9V7.jpg'}",,,
Treeing Walker Coonhound,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '20 - 27', 'metric': '51 - 69'}",250,,Hound,10 - 13 years,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",,SkRpsgc47,"{'id': 'SkRpsgc47', 'width': 1920, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/SkRpsgc47.jpg'}",,,
Vizsla,"{'imperial': '50 - 65', 'metric': '23 - 29'}","{'imperial': '21 - 24', 'metric': '53 - 61'}",251,Pointing and trailing,Sporting,10 - 14 years,"Affectionate, Energetic, Loyal, Gentle, Quiet",,r1o0jx9Em,"{'id': 'r1o0jx9Em', 'width': 2269, 'height': 1276, 'url': 'https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg'}",,,
Weimaraner,"{'imperial': '55 - 90', 'metric': '25 - 41'}","{'imperial': '23 - 27', 'metric': '58 - 69'}",253,Large game trailing and versatile gundog,Sporting,12 - 15 years,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",,SyU12l9V7,"{'id': 'SyU12l9V7', 'width': 901, 'height': 954, 'url': 'https://cdn2.thedogapi.com/images/SyU12l9V7.jpg'}",,,
Welsh Springer Spaniel,"{'imperial': '35 - 55', 'metric': '16 - 25'}","{'imperial': '17 - 19', 'metric': '43 - 48'}",254,Flushing and retrieving birds,Sporting,12 - 15 years,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",,BJ1gnx5Vm,"{'id': 'BJ1gnx5Vm', 'width': 1331, 'height': 944, 'url': 'https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg'}",,,
West Highland White Terrier,"{'imperial': '15 - 22', 'metric': '7 - 10'}","{'imperial': '10 - 11', 'metric': '25 - 28'}",256,"Fox, badger, vermin hunting",Terrier,15 - 20 years,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",,Bkdx2g5Em,"{'id': 'Bkdx2g5Em', 'width': 1065, 'height': 1032, 'url': 'https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg'}",,,
Whippet,"{'imperial': '25 - 35', 'metric': '11 - 16'}","{'imperial': '18 - 22', 'metric': '46 - 56'}",257,"Coursing, racing",Hound,12 - 15 years,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",,Hyv-ne94m,"{'id': 'Hyv-ne94m', 'width': 1600, 'height': 1071, 'url': 'https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg'}",,,
White Shepherd,"{'imperial': '60 - 85', 'metric': '27 - 39'}","{'imperial': '22 - 25', 'metric': '56 - 64'}",258,,,12 – 14 years,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",,r14M3e9E7,"{'id': 'r14M3e9E7', 'width': 1200, 'height': 800, 'url': 'https://cdn2.thedogapi.com/images/r14M3e9E7.jpg'}",,,
Wire Fox Terrier,"{'imperial': '15 - 19', 'metric': '7 - 9'}","{'imperial': '13 - 16', 'metric': '33 - 41'}",259,"Vermin hunting, fox bolting",,13 – 14 years,"Fearless, Friendly, Bold, Keen, Alert, Quick",,SJ6f2g9EQ,"{'id': 'SJ6f2g9EQ', 'width': 1000, 'height': 795, 'url': 'https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg'}",,, England
Wirehaired Pointing Griffon,"{'imperial': '45 - 70', 'metric': '20 - 32'}","{'imperial': '20 - 24', 'metric': '51 - 61'}",260,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",Sporting,12 - 14 years,"Loyal, Gentle, Vigilant, Trainable, Proud",,Bkam2l9Vm,"{'id': 'Bkam2l9Vm', 'width': 2328, 'height': 1604, 'url': 'https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg'}",,,
Wirehaired Vizsla,"{'imperial': '45 - 65', 'metric': '20 - 29'}","{'imperial': '21.5 - 25', 'metric': '55 - 64'}",261,,Sporting,12 - 14 years,,,r1I4hl5Em,"{'id': 'r1I4hl5Em', 'width': 1024, 'height': 770, 'url': 'https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg'}",,,
Xoloitzcuintli,"{'imperial': '9 - 31', 'metric': '4 - 14'}","{'imperial': '10 - 23', 'metric': '25 - 58'}",262,,Non-Sporting,12 - 14 years,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",,HkNS3gqEm,"{'id': 'HkNS3gqEm', 'width': 1500, 'height': 1350, 'url': 'https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg'}",,,
Yorkshire Terrier,"{'imperial': '4 - 7', 'metric': '2 - 3'}","{'imperial': '8 - 9', 'metric': '20 - 23'}",264,Small vermin hunting,Toy,12 - 16 years,"Bold, Independent, Confident, Intelligent, Courageous",,B12BnxcVQ,"{'id': 'B12BnxcVQ', 'width': 1024, 'height': 683, 'url': 'https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg'}",,,
